,comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback
16,9278,171,1821152,http://i0.hdslb.com/bfs/archive/6371475e05c8899793ac5912c7a83a68c6db85cf.jpg,,【2022LPL夏季赛】8月28日 EDG vs TES,1,【2022LPL夏季赛】8月28日 EDG vs TES,0,哔哩哔哩英雄联盟赛事,50329118,1661682373,201:55,23594,387476330,BV1Ed4y197ty,False,0,0,0,0
17,473,171,114171,http://i0.hdslb.com/bfs/archive/d58b2904f1a9cb6ac112034e68d110a71134fcbc.jpg,,【LPL夏季赛TOP5】8月26日：电能激荡花火漫天起 旋刃跳动乘风凯旋归,1,【LPL夏季赛TOP5】8月26日：电能激荡花火漫天起 旋刃跳动乘风凯旋归,0,哔哩哔哩英雄联盟赛事,50329118,1661532150,04:59,327,344980848,BV1md4y1A7My,False,0,0,0,0
18,619,171,151173,http://i2.hdslb.com/bfs/archive/fa2a4c80ba5af41b359bffcc4d3cb8f360676fb4.jpg,,【LPL赛事速看】胜者组决赛:JDG让二追三击败TES，晋级决赛！,1,【LPL赛事速看】胜者组决赛:JDG让二追三击败TES，晋级决赛！,0,哔哩哔哩英雄联盟赛事,50329118,1661531381,33:06,1588,899992578,BV1PP4y1f7Ty,False,0,0,0,0
19,13845,171,1837277,http://i1.hdslb.com/bfs/archive/1b1ac85e1e4cfb3194143e00001006e7983cf660.jpg,,【2022LPL夏季赛】8月26日 TES vs JDG,1,【2022LPL夏季赛】8月26日 TES vs JDG,0,哔哩哔哩英雄联盟赛事,50329118,1661512523,312:45,31382,514880572,BV1ug411D7WB,False,0,0,0,0
20,449,171,138758,http://i2.hdslb.com/bfs/archive/cd5c0ff54e6d5a44facbda59a9e36aa2daefe0fd.jpg,,【LPL赛事速看】季后赛D9: EDG三比一淘汰LNG 晋级败者组决赛,1,【LPL赛事速看】季后赛D9: EDG三比一淘汰LNG 晋级败者组决赛,0,哔哩哔哩英雄联盟赛事,50329118,1661441272,17:10,550,687476673,BV1SU4y167hz,False,0,0,0,0
21,197,171,71525,http://i2.hdslb.com/bfs/archive/aaed8d531570b1bf04b757c9df957de7fc34e63a.jpg,,【LPL夏季赛TOP5】8月25日：灿丽花火照前路 强掳破敌定胜局,1,【LPL夏季赛TOP5】8月25日：灿丽花火照前路 强掳破敌定胜局,0,哔哩哔哩英雄联盟赛事,50329118,1661436773,04:39,208,729942490,BV1pD4y167JJ,False,0,0,0,0
22,4994,171,1136376,http://i2.hdslb.com/bfs/archive/a1ce8526fecacd0eb13ea602d6af01d71f2a1856.jpg,,【2022LPL夏季赛】8月25日 EDG vs LNG,1,【2022LPL夏季赛】8月25日 EDG vs LNG,0,哔哩哔哩英雄联盟赛事,50329118,1661422811,258:11,16240,602451793,BV1NB4y1G7Nq,False,0,0,0,0
23,180,171,98458,http://i1.hdslb.com/bfs/archive/6cc3284537b533649e0041655cc2c175fc0b9d77.jpg,,【LPL夏季赛TOP5】8月23日：巨鳄狂袭踏天碎地 弑君突刺禁敌破军,1,【LPL夏季赛TOP5】8月23日：巨鳄狂袭踏天碎地 弑君突刺禁敌破军,0,哔哩哔哩英雄联盟赛事,50329118,1661262907,04:30,160,942293291,BV1NW4y1874F,False,0,0,0,0
24,377,171,124865,http://i0.hdslb.com/bfs/archive/0709e743949a4689011d88ead1fcacf64cf5a32d.jpg,,【LPL赛事速看】季后赛D8:JDG三比零轻取LNG晋级胜者组决赛,1,【LPL赛事速看】季后赛D8:JDG三比零轻取LNG晋级胜者组决赛,0,哔哩哔哩英雄联盟赛事,50329118,1661259502,19:41,809,814780029,BV1YG4y1r7vE,False,0,0,0,0
25,5861,171,981734,http://i0.hdslb.com/bfs/archive/d6de92d11992b6ea8073983336595c80b36c66bb.jpg,,【2022LPL夏季赛】8月23日 JDG vs LNG,1,【2022LPL夏季赛】8月23日 JDG vs LNG,0,哔哩哔哩英雄联盟赛事,50329118,1661250393,196:35,13126,217296173,BV1ka41157SQ,False,0,0,0,0
26,432,171,125263,http://i0.hdslb.com/bfs/archive/9a92f45344bf7e152d9ed0306da4a16b63d587fa.jpg,,【LPL夏季赛TOP10】8月22日：何人可拒银龙起？且问手中开天戟！,1,【LPL夏季赛TOP10】8月22日：何人可拒银龙起？且问手中开天戟！,0,哔哩哔哩英雄联盟赛事,50329118,1661185286,06:55,422,687368183,BV1TU4y167yg,False,0,0,0,0
27,645,171,152436,http://i0.hdslb.com/bfs/archive/0f4dfcb4682bae648b881b116a9338d892d642ce.jpg,,【LPL赛事速看】季后赛D7: TES三比二翻盘战胜EDG 挺进胜者组决赛,1,【LPL赛事速看】季后赛D7: TES三比二翻盘战胜EDG 挺进胜者组决赛,0,哔哩哔哩英雄联盟赛事,50329118,1661182262,23:17,991,259779562,BV1oa411d7u3,False,0,0,0,0
28,11369,171,1824304,http://i0.hdslb.com/bfs/archive/9f30115bf5b8cd0a62e37b18e53cf59f141a5f50.jpg,,【2022LPL夏季赛】8月22日 TES vs EDG,1,【2022LPL夏季赛】8月22日 TES vs EDG,0,哔哩哔哩英雄联盟赛事,50329118,1661163574,316:12,26362,984784673,BV1pt4y1n7jE,False,0,0,0,0
29,584,171,271700,http://i0.hdslb.com/bfs/archive/0997c9301480d86a63c9dea1275f1c92ddb4328e.jpg,,【LPL赛事速看】季后赛D6:LNG鏖战五局击败V5,1,【LPL赛事速看】季后赛D6：LNG鏖战五局击败V5,0,哔哩哔哩英雄联盟赛事,50329118,1661095335,23:32,731,514634581,BV1cg411r7wp,False,0,0,0,0
