排名,球员名,出手数
201,里基-皮尔斯,5391
202,盖伊-罗杰斯,4125
203,杰克-马琳,5068
204,凯文-朗格利,4477
205,唐-奥尔,4685
206,诺姆-尼克森,5219
207,克莱德-拉福莱特,4784
208,肯巴-沃克,4514
209,赫伯-威廉姆斯,5037
210,鲍伯-布泽尔,4961
211,马克-杰克逊,4793
212,佩贾-斯托亚科维奇,4825
213,斯科特-威德曼,5153
214,丹-伊塞尔,5424
215,霍雷斯-格兰特,5439
216,达蒙-斯塔德迈尔,4329
217,宾高-史密斯,4776
218,何塞-霍金斯,4889
219,卡隆-巴特勒,4596
220,保罗-米尔萨普,5196
221,乔伊-巴里-卡罗尔,5021
222,瓦伊曼-提斯代尔,5338
223,杰拉德-威尔金斯,4754
224,奥蒂斯-比尔德松,5347
225,米奇-约翰逊,4733
226,维尼尔-约翰逊,4882
227,维拉蒂-迪瓦茨,5205
228,史蒂夫-史密斯,4609
229,里克-施密茨,5301
230,安德烈-伊格达拉,4867
231,J.R.史密斯,4373
232,拉玛尔-奥多姆,4811
233,德里克-科尔曼,4616
234,迈克尔-汤普森,5191
235,莫里斯-卢卡斯,4870
236,查尔斯-奥克利,4835
237,马努-吉诺比利,4584
238,约翰-约翰逊,4575
239,贾马尔-马什本,4277
240,卡尔-布劳恩,3912
241,威利斯-里德,4859
242,杰罗米-科尔西,4723
243,安东尼奥-麦克戴斯,5046
244,布鲁克-洛佩斯,5012
245,凯尔-洛瑞,4289
246,布雷克-格里芬,5049
247,迈克-纽林,4720
248,朱尼奥-布里奇曼,4801
249,约翰-格林,4973
250,保罗-韦斯特法尔,5079
251,泰肖恩-普林斯,4583
252,瑟尔-贝莉,4753
253,保罗-乔治,4349
254,吉米-沃克,4624
255,奥兰多-乌尔里奇,5150
256,大卫-韦斯利,4248
257,迪克-施耐德,4890
258,斯里谱-弗洛伊德,4448
259,卡蒂诺-莫布里,4319
260,特鲁克-罗宾逊,4816
261,迈克-康利,4379
262,雷蒙德-费尔顿,4105
263,保罗-塞拉斯,4293
264,丹尼·安吉,4643
265,阿尔蒙-吉列姆,4838
266,尼克-安德森,4416
267,弗农-麦克斯维尔,3932
268,丹尼-曼宁,5026
269,克莱-汤普森,4512
270,朱-霍勒迪,4430
271,阿尔奇-克拉克,4693
272,乔-戈拉伯斯基,3433
273,奥斯汀-凯尔,4359
274,罗波特-瑞德,4443
275,阿朗佐-莫宁,5116
276,萨姆-拉西,4276
277,文-贝克,4692
278,凯文-乐福,4280
279,约翰-纽曼,4456
280,杰里-斯隆,4116
281,雷-斯科特,3906
282,杰夫-格林,4234
283,Cliff Robinson,4493
284,约翰-斯塔克斯,3953
285,德里克-罗斯,4375
286,阿尔提斯-吉尔莫尔,5732
287,艾尔-霍福德,4967
288,鲁迪-拉鲁索,4102
289,乔-史密斯,4325
290,肯尼-安德森,4002
291,法特-利夫,4244
292,特雷沃-阿里扎,4003
293,比尔-布里奇斯,4181
294,布莱恩-温特斯,4490
295,拉里-福斯特,3814
296,唐耶尔-马绍尔,4096
297,迈克尔-里德,4207
298,马克-加索尔,4527
299,盖斯-约翰逊,4126
300,凯利-特里普卡,4434
301,杰纳-苏,3715
302,莱罗伊-艾利斯,4143
303,莫里斯·奇克斯,4906
304,迈克-伍德森,4368
305,乔-福尔克斯,2824
306,凯里-欧文,4346
307,德里克-费舍尔,3720
308,莫里斯-威廉姆斯,4051
309,德马库斯-考辛斯,4283
310,菲尔-切尼尔,4120
311,查理-斯科特,4113
312,里基-索伯斯,4250
313,埃尔文-罗波特森,4412
314,凯尔-科沃尔,4088
315,弗莱德·卡特,3917
316,布拉德利-比尔,4162
317,A.C.-格林,4544
318,拉里-休斯,3738
319,丹-马尔利,3950
320,凯文-约翰逊,4512
321,吉姆-帕克森,4545
322,约翰-沃尔,3942
323,本-戈登,3931
324,拉里-约翰逊,4401
325,维恩-埃布里,3993
326,迈克-戈明斯基,4208
327,希度-特科格鲁,3851
328,安东尼-戴维斯,4661
329,科里-马盖蒂,4065
330,格雷格-巴拉德,4220
331,戈兰-德拉季奇,4138
332,迈克-邓利维,3935
333,哈皮-海尔斯顿,4240
334,比尔·卡特赖特,4656
335,马文-威廉姆斯,3919
336,唐-柯基斯,3947
337,丹-劳恩德菲尔德,4289
338,吉尔伯特-阿里纳斯,3722
