用户,转发数,评论数,点赞数,评论
玩加电竞LOL,0,20,60,【2022全球总决赛淘汰赛 战队&amp;英雄最数据】最高一血率：RGE &amp; RNG &amp; DRX最高峡谷先锋控制率：JDG最高小龙控制率：RGE最高一塔率：DK最高纳什男爵控制率：T1最高血腥程度：T1最高Ban率英雄：悠米 &amp; 凯特琳最高Pick率英雄：佛耶戈最高胜率英雄：千珏 &amp; 永恩#S12淘汰赛# #英雄联盟S12# 
JDG京东电子竞技俱乐部,1,30,274,【2022NEST参赛名单及赛程表】NEST2022英雄联盟线上预选赛赛程来啦！JDG分至A组，战队参赛名单如下图所示首场比赛为11月10日15:30对战iG秉持信念，坚定向前，JDG GO！#NEST2022##坚定你所相信#JDG 
虎扑电竞,1,16,52,【韩网翻译】前EG主教练：我们都能单杀JDG下路，说明韦鲁斯真的很OP#英雄联盟# #英雄联盟s12# #2022全球总决赛# 
nois诺,0,0,0,JDG亚雷妈，本来四强觉得输的很臭，结果一看 淘汰赛数据，亚雷妈，上路单杀王，明年补强赛训组感觉还是可以冲进决赛，选手实力肯定是没有问题的 
琴女你怎么骂人啊,0,6,5,NEST2022英雄联盟线上预选赛选手名单队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX预选赛赛程：2022年11月10日至11月15日英雄联盟#NEST2022# 
鱼骨下的阳光,0,1,0,今年感觉没啥热度了（补看下）JDG对T1的那场全场无尿点，好看 
可爱的二胖子_,0,0,1,"大家都看 #英雄联盟s12# 了吗！！作为网瘾少女，我看的太热血沸腾了！中国队的表现真的太精彩了，JDG加油！！按耐不住也玩了好几把，自从换了新电脑，用酷睿系统玩游戏那叫一个爽，真的很流畅，性能超强！而且看直播也清晰流畅～ #酷睿i9,为超神而生#@英特尔中国 "
JIE後餘生,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 S12正在火热进行中，从S2到S12，见证了我们整个青春。LPL虽然折戟于前7届赛事，但是最近几届我们拿到了3个冠军，证明了世界第一大赛区的实力，不管成功还是失败都祝福LPL披荆斩棘，各个晋级战队能奋勇争先，为edg、jdg加油，369威武 
头发像稻草85,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 作为LPL的粉丝，几乎每场直播只要我有空都会守在英特尔酷睿前观看，从s2到s12以来，这11年间LPL走过低谷也登过高峰，这场青春赛事承载了太多人的喜怒哀乐，我相信最多的还是骄傲，s12总决赛来临，让我们一起为中国队加油！为JDG加油! 
直播吧电竞,0,0,2,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日 队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分 ...全文
吐槽帝逍遥先森,0,0,0,#酷爽冬游季##游戏先锋团##s12竞燃有我# JDG京东电子竞技俱乐部 分享S12世界赛赛场返图 
孤独是盏灯-Ada,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 我是LPL粉丝，只要时间允许每场直播我都会守在英特尔酷睿pc前观看支持他们！s2到s12以来LPL走过低谷也经历过高潮，s12也快到总决赛了！LPL加油，JDG加油！我们一起期待这场青春赛事！ 
业余电竞,0,0,0,#rookie##jdg##957# 业余电竞的微博视频 
芋泥麻薯奶茶c位出道,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 JDG加油，为LPL拿下第四冠！精彩比赛，怎么能少得了给力的pc端呢！酷睿i9，为我带来流畅体验，希望JDG能延续传奇，赢得比赛！ 
Minnie·193X177,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 让我们一起为LPL助威！为JDG我加油，我相信最终的冠军，一定会是我们的。通过PC端观看赛事直播时，这场赛事的完美展现，离不开酷睿i9，画面的极致舒适。 
天空里好蓝,0,4,1,做成这个样子完全当天就可以放出来的，懒得写脚本懒得配音懒得剪辑最终一键成片。 天空里好蓝的微博视频 
心碎的电竞大叔,15,28,15,众人点评JDG对战T1胜负核心，doinb谈揪心事实，JDG训练赛被虐。 心碎的电竞大叔的微博视频 
LOL手游小虎宝,0,0,0,#WRL2#常规赛第一阶段W3D3 TOP5TOP1:EDG.A1one@A1oneQAQ 薇恩经典蛤蟆位置再度封神TOP2:JDG.Lemon@JDG_Lemon 锐雯无解进场眩晕四人终结比赛TOP3:EDG.A1one@A1oneQAQ 韦鲁斯逆天操作惊艳反杀乱秀暴走TOP4:JDG.Doki@JDG_Doki 牛头强势开团连控众人赢下团战TOP5:FPX.0711@FPX_0711 奥拉夫拿龙砍人砍 ...全文
i手游叔,0,0,2,【JDG分享 S12世界赛赛场返图 📷】#英雄联盟s12##s12竞燃有我# 
兔玩游戏,12,331,3133,@丶涵艺 爆料转会消息：第一 我解释一下 Knight的价格是去年Blg Wbg JDG三家抬起来的，分别都见了父母。但是皓哥用真情和不错的价格打动了K皇🐮！ 4500是实实在在的价格，说我造谣建议律师函。这是谁都没想到的事情！  Viper是我喜欢并尊重的选手，我没有质疑他的态度，我比你们更希望他留，这样的 ...全文
奥恩不打铁,0,0,0,#WRL2#jdg团战完美配合，不料伤害太低只能溃败#FPX对阵JDG# 奥恩不打铁的微博视频 
峡谷滑板鞋,0,0,0,#WRL2#赵信抓住机会进场开启团战，一波一换三赢下团战胜利#FPX对阵JDG# 峡谷滑板鞋的微博视频 
酒桶要减肥,0,0,0,#WRL2#双方小龙团开启团战，卢锡安伤害拉满一波零换四赢下团战#FPX对阵JDG# 酒桶要减肥的微博视频 
渊言非,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 LPL征战11年啦，我追随了7年，每场比赛都有喜有忧。而这一次S12赛事，我相信JDG能胜利而归，JDG加油，中国队加油，再创佳绩！ 
FPX英雄联盟手游分部,1,5,12,"【#WRL2# 常规赛第一阶段Week3 】今日FPX鏖战五局以3-2战胜联赛榜首JDG，终结了对手的不败金身！目前队伍以3-2的战绩跻身积分榜第四。接下来我们将会在下周四迎战OMG！披星戴月，步履不停！#信念不熄,热爱当燃# #秋日超星动# "
梦里挑灯看剧,850,473,1261,#2022LPL纪录片定档# 还有人不知道今年的LPL纪录片已经定档了吗！！369到JDG感觉状态整个都不一样了，Doinb在LNG好和谐！用积木和齿轮来形容战队真的很合适了，五个人只有彼此信任共同携手才能赢得胜利，看到赢了比赛选手们和教练们兴奋的样子又一次感受到了竞技的热血与热爱，期待#此志无双# 开播！ 
召唤师Park,26,38,221,#2022LPL纪录片定档# 看预告里有今年JDG逆袭杀出重围变黑马，LNG换上单队内波动、重组后的V5逆风翻盘，#此志无双# 这一波真是春季和夏季赛的经典回顾了，你还记得当初看比赛时印象深刻的瞬间吗？ 
imfingf,0,0,0,很多人不懂野核，也低估了这个版本野核的威慑这个版本野核是可以一打五的dk主要是下路实在是太拉，否则三星根本顶不住，我想看了全程比赛的应该能认同吧和s10人均野核不同，今年是最后一个版本才改的野核，除了京东和dk所以大家还没感受到jdg的强度我不怕被打脸dk下路拉，京东下路 ...全文
锦城LOL,0,0,3,突然发现今年LPL出征四队都被大削了JDG核心Kanavi想回韩国，主教练红米被爆料回国生二胎，如果是真的JDG直接从上流队伍掉到中游。二号种子TES只续约了Jackeylove，这么糟糕的成绩很难留住左手和小天三号种子EDG双韩援到期，Viper留队意愿不强，EDG是很难买到Viper替代品的。Viper对于EDG来说有多重 ...全文
纯情派掌门人·,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国  从S2到S12，LPL征战11年，我就追随了11年，其中失望过、遗憾过、开心过、自豪过，但更多的还是骄傲，让我们跟着英特尔中国和酷睿i9一起为中国队加油！为JDG加油! 
英雄联盟菌,58,149,1059,【Faker父亲：相赫说即使过了30岁，也想以现役的身份打比赛】S12决赛即将打响，赛前韩媒Naver发文，其中部分内容翻译如下：我们在全球总决赛开始前见到了Faker的父亲，他表示，“相赫说即使过了30岁，也想以现役的身份打比赛。” 而这个愿望更有可能成为现实。对阵JDG第四局，T1的超常发挥打进决赛 ...全文
游戏红人社,31,62,85,“RNG小虎未续约，WBG买红米”，LPL面临大洗牌，UZI：WEI要起飞从现在零零碎碎的消息来看，LPL将在这次转会期过后迎来一次大洗牌。首先来说说本次世界赛成绩最好的JDG战队，JDG战队的选手转会的可能性非常小，如果JDG预算充足的话最多也就是针对下路进行补强。毕竟hope和missing这对组合本次世界赛真 ...全文
忧伤O_o音,0,11,18,blg我说一下哦，你们一定要做心理准备，BLG很有钱，但并不是说最拔尖的那一个，跟WBG，JDG这些队伍比BLG还会差一点意思，还有因为工资帽的关系BLG的阵容一定会有取舍的问题，不可能每个位置都是满意的人选，要有心理准备 
LOL上衫君,0,0,0,复盘2022英雄联盟全球总决赛淘汰赛JDG VS RGE第一局 #英雄联盟 #英雄联盟全球总决赛 #英雄联盟lol# LOL上衫君的微博视频 
峡谷大喇叭,0,4,9,#wrl2# 好帅的一波操作！锐雯直接控住四个完美留人#FPX击败JDG# 峡谷大喇叭的微博视频 
