用户,转发数,评论数,点赞数,评论
继续学法去了,0,1,11,EDG今年最后一次当赌狗             我相信《管理学》 
大木GameDay,0,2,2,【官方】EDG战队官方发布NEST2022大名单：原LSB二队中单选手Fisher正式加入！#EDG官宣FISHER加入# #2022LOL冬季转会期# #NEST2022# 
霸图职业战队张佳乐的小助理,1,30,97,EDG虽然电子竞技不看脸 但二队小打野真的是suai哥 
是阿阿阿阿阿阿宁,0,0,6,EDG任何一个人没看过这个视频我都会伤心的好吧哈哈哈哈哈哈哈哈哈哈哈哈 
超凡电竞LOL,5,37,131,【EDG公布NEST名单：#EDG官宣FISHER加入#】EDG公布2022NEST大名单，同时官宣中单选手FISHER李淨太加入二队教练：VITO 刘峰宇上单：SOLOKILL 麦富强上单：XIAOYU 周宇打野：MONKI 王梦齐中单：FISHER 李淨太中单：CYKU 陈锦坤ADC：LEAVE 胡洪超辅助：XIAMU 王永旭#NEST2022##英雄联盟# 
bobohohooo,0,6,8,EDG 我一直以为是念李正泰 尬住了 
Oiux9,0,5,5,哥们你看脸真像edg的人 
三月去野餐吧,0,0,0,EDG终于！🐟加油啊！加游啊！阿弥陀佛保佑你 
PentaQ刺猬电竞社,1,8,2,【EDG公布NEST首发名单】教练：VITO 刘峰宇上单：SOLOKILL 麦富强上单：XIAOYU 周宇打野：MONKI 王梦齐中单：FISHER 李淨太中单：CYKU 陈锦坤ADC：LEAVE 胡洪超辅助：XIAMU 王永旭#NEST2022##英雄联盟# 
英雄联盟菌,58,91,797,【LPL选手合同到期一览：RNG、EDG以及TES关键选手合同今年到期】RNG：除了夏季赛转会过来的上单Breathe选手合同到期时间未知以外，其余四人包括替补辅助合同皆今年到期。EDG：Junjia合同到期时间未知，Jiejie合同于明年到期，其余四名选手Meiko、Scout、Flandre以及Viper的合同都在今年到期。TES ...全文
晓铜铜铜铜铜铜,1,103,520,EDG 他也希望那个队伍获胜吧 
我是宓啊,0,0,0,#EDG上演奇迹翻盘#就挺可惜的吧！ 
玩加电竞LOL,2,39,113,【EDG公布NEST2022大名单：EDG.Y为班底出战】在本届NEST2022英雄联盟项目中，EDG选择派出在ASCI亚洲挑战者之星邀请赛中夺冠的EDG.Y班底出战，同时在EDG.Y原班底的基础上引入了FISHER（李淨太）选手加入NEST大名单。教练：VITO 刘峰宇上单：SOLOKILL 麦富强上单：XIAOYU 周宇打野：MONKI 王梦齐 ...全文
十几味中药一起煎,0,15,3,EDG解散吧NEST大名单出了，很多人期待已久的小鱼坐镇中路，其他位置维持原班冠军人马 
用户jughead,0,0,2,EDG 都点东西啊，这个比赛！！有点期待了 
于黎明复活,0,7,22,驼妹 EDG Deft 
蛋挞蛋挞葡式蛋挞,0,6,24,EDGjrm这个整活视频太好笑了哈哈哈哈哈哈哈哈哈 150人正在看 
白日梦醒0022,0,14,50,EDG 大家准备好恭喜了吗 
-yechannim-,0,12,41,EDG 受！任！于！败！军！之！际！奉！命！于！危！难！之！间！！！ 
Score赛高,4,23,100,【@EDG电子竞技俱乐部  2022NEST赛事出战名单】教练：VITO 刘峰宇 上单：SOLOKILL 麦富强上单：XIAOYU 周宇 打野：MONKI 王梦齐 中单：FISHER 李淨太中单：CYKU 陈锦坤 ADC：LEAVE 胡洪超 辅助：XIAMU 王永旭#EDG官宣FISHER加入# #NEST2022#EDG 
月相轮转清辉夜凝,0,3,14,朴到贤viper已经不在乎是edg还是dk还是exo还是kfc了，能让我看一眼会动的新鲜的pdx吗 
等-机会,0,0,0,#EDG上演奇迹翻盘#感觉很不错感觉 
志存高远_黄健斌,0,0,0,#EDG上演奇迹翻盘#太湖平如镜，秋山红若火 
溪-洋,0,0,0,#EDG上演奇迹翻盘#好困，可是特别关注提醒我你发博文了呢，必须来看看！ 
VneTwo3,0,35,31,EDG 分享一下反派edg吧！想看看大家的 
汤汤不是猪猪,3,74,474,EDG 小鱼儿这张照片…不知道为什么…看着就很EDG 
月相轮转清辉夜凝,0,14,110,EDG在这种yxh乱带节奏的时候就应该看点开心的，比如小勇画的。。。 
EDG电子竞技俱乐部,435,538,3790,NEST2022英雄联盟项目EDG出战大名单公布！在本届NEST2022英雄联盟项目中，EDG选择派出在ASCI亚洲挑战者之星邀请赛中夺冠的EDG.Y班底出战，同时在EDG.Y原班底的基础上引入了FISHER（李淨太）选手加入NEST大名单，希望队员们能够在此次赛事中打出精彩的操作，展现出自己的风采。#为爱而聚，E起前进#  ...全文
幽默达人小蔡,207,0,173,#EDG上演奇迹翻盘# 水晶复活，在落后一万经济情况下，奇迹翻盘！#S12话题大赛# 幽默达人小蔡的微博视频 
辞别未来,0,12,8,EDGJrm 这样子的之前一直在补一些五人组的直播切片和一些相关视频如果双人的话我一般是看到哪对浅磕一下 因为能看到互动的电人很开心嘿嘿(禁止严重cp粉在评论区撒野嗷！)啊啊啊啊啊想看看大家有什么视频库存吗！！丢个tp 我直接偷过去！ 
兔玩游戏,40,23,520,【DRX Pyosik：打EDG之前我们几乎输掉了每一场训练赛，但教练告诉我们轻松地去打，就算输掉也不要在意】（4Nov，Korizon发布DRX Pyosik选手采访视频内容，以下是上半部分翻译。转载搬运请注明出处。）Q：你们成功进入了半决赛，请问感受如何？给你带来了什么影响吗？DRX Pyosik：其实从四分之一决 ...全文
21和你,0,318,96,EDG 买重复这多[苦澀]那就抽给你们，李炫君和妹扣的只抽他们的粉丝，其余几张一起只抽EDG的粉丝，自己付邮费。一共抽三个人。不符合我会再抽  抽奖详情 
佳佳鱼和小利利,1,158,245,EDG生日buff➕1 
仙人掌掌掌w,4,2,91,Scout#李汭燦的那年今日# 161103  EDG APP更新 
Perper的胡萝卜_,0,2,29,EDG原来就在家门口也能见到电宝呀 
-AUgenstern7-,0,0,1,EDG所以说我们要去那上谁捏 
emo摄像头,1,93,100,EDG有可能吗 
2002wYCc,0,0,4,EDG 好像让转会期结束，好像看到结果 
灵敏电流表416,0,9,23,"EDGmd,都怪那个什么涵艺，我现在刷抖音里面营销号都再说这件事，还添油加醋说到贤是真不想留，无语了。到贤都和他不认识，他就是自己觉得到贤春季赛就想走，就在这里胡说八道，蹭什么热度啊？ "
歲在庚子年初春,0,1,2,只是希望你能留下来 陪伴我大学的最后一年EDG朴到贤viper#viper# 
emo摄像头,1,93,100,EDG有可能吗 
2002wYCc,0,0,4,EDG 好像让转会期结束，好像看到结果 
灵敏电流表416,0,9,23,"EDGmd,都怪那个什么涵艺，我现在刷抖音里面营销号都再说这件事，还添油加醋说到贤是真不想留，无语了。到贤都和他不认识，他就是自己觉得到贤春季赛就想走，就在这里胡说八道，蹭什么热度啊？ "
歲在庚子年初春,0,1,2,只是希望你能留下来 陪伴我大学的最后一年EDG朴到贤viper#viper# 
Bear_蟹,0,0,3,EDG太想念per了jrm 我都做梦梦到per来给我上课了 我坐在底下一边看着per 一边感慨怎么这么喜欢per 
川田久司_,0,0,1,EDG偶遇🦊有 
就决定是你啦,0,12,0,EDG解散吧逛解散吧的时候本来想插个眼但是不知道为什么被一个等级蛮高的人拉黑了，脑子里面完全没有跟她对过线的印象，所以我以前到底是做了多少恶啊才被那么多人拉黑搞的我每次在这发帖都要被审核 
mzzzzzh-,0,9,5,EDG还有暂停流量这种功能？ 
缠梦x,1,4,73,EDG 做梦梦到Viper最终还是选择EDG了，开训练赛还是那五个熟悉的ID.... 梦到他说爱EDG爱LPL的氛围希望我美梦成真 
-游城十代,0,0,10,EDG 我人晕了 昨晚梦见viper跟我说已经签好新合同了 我问他 你跟三星蓝还是三星白签了 他说 SSG  给我一大老爷们整落泪了😢😢 
玩加电竞LOL,6,15,157,【2022全球总决赛淘汰赛 选手最数据】最多单杀：DRX.Zeka最高分均伤害：EDG.Scout最高场均参团率：DRX.BeryL最高场均对线经济差：DK.Canyon最高分均补刀：RNG.GALA最高场均视野得分：RNG.Mingcr@英雄联盟赛事数据 #S12淘汰赛# #英雄联盟S12# 
特制小聂,0,0,0,EDG 7年女淀粉想看男淀粉的照片#随手拍##plog# 
不与傻瓜论长短dddd,0,13,23,EDG这个cs，给我发私信没胆量又来对线，骂了一句赶紧设置了，怂的一批，口口让上单滚，大家见了拉黑请拉黑，又贱又怂的东西 
金铲铲冠冕,0,0,11,EDG 真的每次心情不好的时候，这就是我的快乐老家，永远不会忘记那个激动到抓着凳子蹦摔了一跤的夜晚 
小狐狸的白桃乌龙,0,8,43,EDG 有些人连亚运会到底能带几个选手都搞不清楚就别在那儿鼓吹什么为了亚运会名额回国了好吧。不会有人觉得拿到十人集训名单没进最终六人大名单的人能免兵役吧？不会吧？？？ 
你好葡萄小狗,0,28,32,EDG 家人们真的很好笑今天生日我舍友刚0点拿出礼物 竟然是和我前阵子买的一模一样的手链 连绳子的颜色和金属的颜色都选的一样舍友间的默契又增加了 
马尔扎哈公主,0,0,1,EDG我成为EDG 超FUN啦 发帖纪念一下~ 
zzzzz_jy1,0,11,38,EDG 今天我去考试 座位号是077777777保佑我！ 
请叫我cool6,0,3,12,EDG 买了赵宝同款卫衣之后发现真的好看又去买了短裤没想到过会店小二发消息说降价了让我重新买（179降到了129）可以 这波好感拉满那我就再多买个帽子吧 
请叫我cool6,0,3,12,EDG 买了赵宝同款卫衣之后发现真的好看又去买了短裤没想到过会店小二发消息说降价了让我重新买（179降到了129）可以 这波好感拉满那我就再多买个帽子吧 
峡谷打call角,0,1,3,#wbg对阵edg# 这波团战青钢影丝血逃生操作拉满，金身加闪现这手速真的很可以 峡谷打call角的微博视频 
i手游叔,0,0,1,【英雄联盟手游第二期#WRL2#《英雄哔哔机》】EDG对TT垃圾话的实时ReactionKBG队内大乱斗前骚话大放送#英雄联盟手游#  i手游叔的微博视频 
听说99583,0,0,30,EDG好友动态提醒一年前的今天 
今天也喜欢牛奶糖,0,0,16,EDG 没见过的照片 
阿强qwq,0,0,2,马上就知道结果了，不管结果如何是选择继续留在EDG还是选择回LCK我们都会一直支持你，支持你的选择，永远的到贤哥！！！英雄联盟#2022LPL冬季转会期# 
司诺ovo,0,52,31,EDG_jiejie新粉，请用Jiejie帅照砸我，谢谢！ 
我也就那样子l,0,0,0,EDG 对啦，在一区想一起LOL乱斗的可以私聊我，我有个一区电人集合地。上至王者大师下到人机菜鸡都有。 
霍格沃茨年纪第一,13,69,713,EDG 可爱🦊 我想魂穿右边 
SuerteAnnie,0,5,3,EDG 原来微信发英雄联盟真的可以拿到皮肤 
真想给你一巴掌啊_咬牙切齿版,1,14,219,EDG 我哭死永远不要质疑Scout选手 
鲨鱼鱼yy,24,12,270,EDG “我的名字叫田野” 
哦耶耶耶耶耶耶s,0,1,0,EDG看密室那一期的cam感觉我比他们害怕 
只会睡觉的布偶猫,0,8,0,EDG 换这个还是换塞拉斯 
不言liu,0,1,2,EDG诚邀大家和我一起考古，真的很快乐，乐观淀粉名不虚传 
痴音猫,0,0,0,EDG 憋不住了 哈哈哈 
解说诺亚,0,5,62,EDG 家人们，被我逮着活的了！！！！运营人员准备下班的，看到我在拍照，还送我一枚徽章冠军纪念徽章同款诶，不过是老板厂子里出来的~#edg# 上海·上海久光中心 
冥王星溺死,0,3,1,EDG拥抱莹辉并使耳语静默啥意思哇xdm 
新建纯瑟图层,0,2,4,EDG 哪位家人有这张原图呀，官博翻烂了都没找到感谢🙏 
新建纯瑟图层,0,2,4,EDG 哪位家人有这张原图呀，官博翻烂了都没找到感谢🙏 
爱吃比巴卜丶,0,0,0,EDG食堂吃饭的牌子，什么成分不用我说了吧 
松岛菜菜_,0,9,6,EDG 家人们 搞个好玩的 wx发面对疾风吧 真的有亚索的风来hhhhhhhhhhhhhhh 
英雄联盟小灰,32,72,413,Flandre开始努力排位了，应该不会退役吧！状态非常好，下赛季不再EDG也不至于无人问津。#英雄联盟# #英雄联盟S12# 
君君我的君君呢,6,1,18,一些有趣的现象，记录一下：虎扑和微博平台上面的某些“电粉”“小骑士”，戴着EDG头像框一口一个批枪，一输比赛，不说帖子，实际连为李炫君说话的评论都没几个，先虚空立靶“枪妈妈太逆天了，这也能洗”，“圣枪实力要是有他粉丝嘴一半硬就好了”，“圣枪粉也有脸，只知道甩锅给双c/辅助/打野”，完 ...全文
大王要吃烤红薯,11,75,789,EDG 只有我帅而已 
爱尔兰诗人叶芝,0,2,1,EDG 哦豁？ 
锦城LOL,0,0,3,突然发现今年LPL出征四队都被大削了JDG核心Kanavi想回韩国，主教练红米被爆料回国生二胎，如果是真的JDG直接从上流队伍掉到中游。二号种子TES只续约了Jackeylove，这么糟糕的成绩很难留住左手和小天三号种子EDG双韩援到期，Viper留队意愿不强，EDG是很难买到Viper替代品的。Viper对于EDG来说有多重 ...全文
召唤师Park,7,8,205,Park忙着吃2022LPL、LCK冬季转会期的瓜，还没注意S12决赛就要来了，T1、DRX将在明天早上8点披挂上阵，通过BO5决定LOL召唤师杯的归属。舞台中心的主角自然是“麻浦双C”Faker李相赫和Deft金赫奎，看到有小伙伴对Deft“三星十子最后一人”的身份有些陌生，来聊聊金赫奎在加盟EDG之前的故事。2013年De ...全文
190的郝先生i,0,1,26,EDG 看到零零碎碎的转会瓜，其实回想这一年我们真的很不容易，从春季赛打FPX 打WBG多多的沙皇，到被RNG翻盘 到夏季赛Viper  到打lng的塞拉斯 到资格赛枪宝TP绕后 jiejie 上场让二追三 再到世界赛妹的锤石这一年真的大家总能在关键时刻站出来 
7i-GA,0,1,5,EDG 终于知道职业选手打到手抖是什么感觉了失误一波就没了（排位机制真的nt啊 
三水宁子,0,0,55,EDG 【EDG】2022lpl年度选手纪录片预告02 EDG cut 三水宁子的微博视频 
宇文拓海QAQ,0,0,2,EDG 有没有是淀粉呢？ 
山月新临,0,0,3,还是最喜欢18年edg的队服和那年的出征服 
灰灰添满7,0,1,0,EDG_jiejie 「🎞」 认真回答采访问题的小菇总是为大家展现出一股沉静的气质吖 
迷人的Zoey_,0,10,16,EDG 周末搞点生腌778 
Rabbittt_island,0,17,101,EDG 膏书记去看决赛了 那我们电人嘞[疑問] 
Jinjinyu-,0,0,2,EDG 膏子哥去旧金山了 咱们崽应该也去吧 
楽楽楽楽楽楽楽楽iko,0,49,52,EDG 这个壁纸很爱 
峡谷王处长,0,11,47,【上海EDG.M王者荣耀分部人员变动】此前租借至@万臻Wz电子竞技俱乐部 的选手赵瑞（ID：上海EDGM.靖风@上海EDGM靖风 ）正式回归上海EDG.M 
Rabbittt_island,0,17,101,EDG 膏书记去看决赛了 那我们电人嘞[疑問] 
Jinjinyu-,0,0,2,EDG 膏子哥去旧金山了 咱们崽应该也去吧 
楽楽楽楽楽楽楽楽iko,0,49,52,EDG 这个壁纸很爱 
峡谷王处长,0,11,47,【上海EDG.M王者荣耀分部人员变动】此前租借至@万臻Wz电子竞技俱乐部 的选手赵瑞（ID：上海EDGM.靖风@上海EDGM靖风 ）正式回归上海EDG.M 
吿敗丶,0,10,39,EDG想问下有没有谁知道，这一幕是小组赛那一场呀 
丶涵艺,201,326,2971,viper从今年春季赛就想回LCK了，能签的队伍有KT NS DK LSB，EDG会尽全力留下他，选手意愿真的不是很强烈，scout 倾向于留队。看宝想回，都想争取打亚运会的机会。BLG要sofm因为管理团队是之前SN的班子想依靠那年的模式建队，中路选择是yagao cryin icon这样的选手  不想选择knight fofo这种类型的中单 ...全文
胡萝卜培育基地,0,11,17,EDG问有哪个拆卡主播比较靠谱手比较欧吗 
没有诗书气自华,0,10,49,EDG现在急的多少有点——yxh要流量不要🐴，举报就行了，“viper要的lpl给不了”的那位那viper要什么呢？你是？你是？（急的人，有的人想让viper回lck“再续前缘，有的人想接“edg——”，都先歇着吧） 
xixi嘻嘻西,0,0,3,在edg里面喊华子是真的给辅助蹭屎，那两不算华子只能算中华田园犬（） 
莫灬奈丶,0,0,2,加班人 加班魂无锡-上海-北京-哈尔滨-上海在北京偶遇EDG的飞机 
我要改个什么呢,0,6,4,EDG解散吧 这车牌狠狠慕了。 
特兰克斯女友,0,1,1,EDG 重庆有没有线下观赛的地方啊 
风落WindFall,0,14,0,EDG家人们有没有某宝喵树互相助力的...真不知道上哪儿能邀请到6个人，我在现实好像真没朋友，不得不动用我在超话的人脉了 
我是电竞小生,0,2,5,英雄联盟#英雄联盟S12# LPL冬季转会期即将到来，关于EDG冠军下路Viper的去留成为讨论焦点！而各方消息都显示Viper倾向于回到LCK。据@丶涵艺 爆料Viper回到LCK的原因有以下几点：1、明年的亚运会。2、疫情原因。3、距离家人较远。4、薪资水平。5、💰到韩国账号的速度。6、队伍夺 ...全文
英雄联盟神吐槽,37,130,921,【EDG-Uzi正在连接？厂长出面劝说UZI】有关Uzi复出的消息在世界赛刚开打的时候就有爆料，先给大家总结一下时间线再说厂长出面劝说Uzi这件事，今年有关Uzi复出的最新消息是世界赛刚开始，当时很多知名圈内人士都爆料有几个俱乐部想买Uzi，紧接着Uzi韩服排位快速冲分，其次婷婷发文称Uzi血糖恢复正常， ...全文
一期你想想办法呀,0,3,3,EDG看到pandac说nest要求必须上一队的人，比赛10号就开打，10号电人还在飞机上呢，有人评论说：流浪电人笑死。估计得二队调人上一队去打了吧咱们二队的孩子也可以借机打打身价？ 
森林里面住着鹿,0,18,71,EDG上次说小天工资然后被小天亲自辟谣的是他吗？ 
_千莫_,13,17,44,英雄联盟#s12电竞同人##cos# EDG冠军佐伊：千莫摄像：小命剪辑：千莫q技能特效感谢@阿拉德的小少年 再回首，去年的EDG是真的披荆斩棘。踏三星，斩DK，在没有人看好他们的情况下，是他们自己对得起自己。蓝色的雨，永远热血，永远热泪盈眶。S12的鲜血能在S13开成鲜花吗。骑士之心，永 ...全文
久爱吃瓜,0,34,378,#瓜友速报# 靖风回到EDG.M 
亦冬雨,0,48,58,EDG解散吧逆大天 
杨天所长,0,2,0,又一款“埃尔法”，而且是“纯电埃尔法”，来自广汽合创。听说跟传祺M8有微妙联系，但从比例来看，比M8要更埃尔法。主打“电竞”来实现差异化跨界营销，因为他们有EDG#汽车##mpv#MPV研究所 
言修头上长白菜_都赖伦桑w,0,18,14,EDG 第一次开到1000诶 
要和我一起嘻嘻哈哈嘛,1,24,134,EDG NEST必须要有一队选手？？？那我们家谁去啊？jiejie？ 
阿稻爱喝喜茶,0,0,0,EDG一边说尊重选手意愿，一边在造谣营销号下面求俱乐部放过他，俱乐部是干啥了啊，这么大恶意，看不懂…… 
HOSOL刘好好好,0,33,55,EDG赶在生日前一个小时，给自己做好了生日礼物还是挺累人的 
锦大老爷,0,6,3,EDG_jiejie哪个家人有小菇从酒店顺回来四瓶水的tp啊，找了好久找不到了🥺 
松月魈兔丶,0,1,4,我昨晚做梦梦见 rascal来LPL了 还是edg  梦里还纳闷 我家韩国外援满了啊  然后...... 
没有啥是美食解决不了的,0,4,8,EDG好帅啊真的好帅啊到贤 
没空各自清醒,0,8,2,EDG现在超话在哪儿看自己等级的那个经验区间啊 
广场体再爱我一次,0,2,1,EDG解散吧 玩了两把阿卡丽 秒人太爽了 
可乐跳跳糖139,0,8,27,EDG_jiejie之前约的一个帅气小菇，可以当头像或壁纸🈲二传二改商用原图可以私信 
emmNope,1,46,57,EDG跟朋友刚刚上课摸鱼讨论了一下，如果后天T1夺冠，那明年应该是优先以T1为核心组建亚运阵容，那这样一来上下辅基本都得是T1的。DRX赢了的话就不太好说，但是我还是看好T1和根基会力争自己家下路组去亚运会现在的t1根基和dk现在的地位就是当年lpl的御三家，基本就能分完亚运会名额，好的话 ...全文
小狐狸Yechan,180,49,770,EDG 提问：谁是二道沟远近闻名的撒娇精呀？ 小狐狸Yechan的微博视频 
一衫衫,0,18,24,EDG 无奖竞猜谁是镜头感的神 
Charlotte-Violet,0,4,43,EDG 真的看不得选手混剪啊……眼泪止不住的就会下来电竞真的好残酷，赢家永远只有一个深夜emo 
直播大咖那点事,0,0,0,#2022全国总决赛##S12#SCOUT沙皇闪现回旋一推二，EDG龙团致胜先下一城 直播大咖那点事的微博视频 
EDG英雄联盟手游分部,5,20,50,#WRL2#WRL2常规赛第一阶段 BO5EDG vs WBG（3：2）本场比赛的MVP给到的是打出超高poke伤害的A1one@A1oneQAQ 。【02：23】对方劫大招越塔，A1one维鲁斯规避伤害，塔下反杀劫，后续阿卡丽再赶到击杀发条；【04：59】我方野辅三角草蹲到加里奥，拿下人头，我方控下火龙；【05：42】上路对方二人放先 ...全文
看到你真的是很烦,0,3,48,EDG dy看到的 👴立马暗杀版剪辑 
看到你真的是很烦,0,3,48,EDG dy看到的 👴立马暗杀版剪辑 
是悋怿不是ky-,0,0,12,EDG对不起小菇 但是你的四肢真的不太协调 
AshesSparrow,0,2,0,EDG 兄弟们…你们知道为啥商城现在很多皮肤买不了炫彩吗？好多炫彩都好像买，但目前似乎只有新皮肤可以买炫彩，其他皮肤都不行 
傲娇暖男Karry王9,0,25,73,EDG来福哥 告别的这么突然吗 
偷看月亮啦,2,33,276,EDG 考古发现 
用户7752377422,0,1,3,faker对付berly选手最有效的方法，就是硬用操作灌死zeka其实不用慌，对于gank之类的faker是完全不虚的，操作上两者我不敢说，但意识上还是faker更胜一筹。上路我觉得不用担心了，drx无论是小组赛，淘汰赛里， tes，edg和geng上路都是不强的选手。反倒宙斯，和jdg的半决赛，kanavi就差附369身 ...全文
jxy和wyf是最好的男妈妈,0,1,15,EDG淀粉无处不在 
yodiLuc_,0,0,2,做题突然感慨，edg的胜利能够被写进英语二模题，那么什么时候ivl也可以有这样的待遇呢…？ 
没什么就这样了,0,0,25,EDG_jiejie今日份考古菇，想赵礼杰的第n+1天 
纵使相逢应不识1207,0,0,7,EDG昨晚梦见多多言出法随，然后他说保到贤，保到贤。 
这个区域的兔子只能是我,0,5,1,EDG打扰大家了被这么一说，真的有点害怕职场的感觉，因为快读了二十年书了，一直没有经历过社会的拷打，想问一下所以社会生活真的是这样吗？就是有朋友这样信誓旦旦地回复我，就有点开始思考可能真的是我经历的太少了还有竞圈也是这样的吗？签一年是没有任何感情，不太正常 ...全文
熬夜波比3,0,96,260,EDG 图先放这避个雷，如果最后真的没保持原来的阵容，别让我看见这种言论，viper怎么选择什么时候做出选择都是他的自由，别到时候扣帽子，无论viper留与否，转会期和平体面的结束的话就最后一天抽个5个20，不抽我讨厌的属性。 
和平小学校花,198,230,2747,EDG zzm直播最新爆料来了1.听说中辅离队 6号哪个队伍夺冠加入哪个 打不过就加入2.中单退役回马山卖番薯了2.辅助回家养殖蘑菇3.jiejie去美国试训了有个nba队伍想要他4.圣枪哥回snake5.viper发现瓦洛兰特有个人和他id一样所以去瓦洛兰特打viper了6.junjia留队 因为jiejie去nba了所以他首 ...全文
Caelynas,1,121,104,EDG 其实想知道超话里有多少人会看这场比赛，虽然没有LPL的队伍，但是这样就可以作为一个纯粹的观众来享受比赛了吧 
火烧屁屁了哦,1,63,66,EDG解散吧 所有人听命！六号早上八点集合！ 
周周别破防,0,9,33,EDG 有人找我收卡，我翻主页发现这个人是对家，怎么办，出不出给他啊 
Nirvana丶寒炎,9,120,1278,EDG同志们，对于外面的瓜不要急，不信谣，不传谣，看看20年冬转的拉扯，一切等官宣 
周周别破防,0,9,33,EDG 有人找我收卡，我翻主页发现这个人是对家，怎么办，出不出给他啊 
Nirvana丶寒炎,9,120,1278,EDG同志们，对于外面的瓜不要急，不信谣，不传谣，看看20年冬转的拉扯，一切等官宣 
羲和弥生,1,11,65,EDG真不会做生意，这你不塞几张随机小卡 
炒饭记得放咸菜,0,0,0,#EDG世界赛加油#虽然结束了但我想要小尾巴 
llvistar_,0,5,76,EDG黑框眼镜的小猪 
吴邪丷,0,0,1,EDG这下不得不看一路了，本来想着直播看高能观赛团然后录播看一路呢 
陈遇NoFear,0,0,3,EDG就是说昨天晚上做梦梦到了圣枪哥，问了他很多，他说不退役，不离开，并且五个人都还会在 
超凡电竞LOL,5,36,57,【2022全球总决赛淘汰赛 选手最数据】最多单杀：DRX.Zeka最高分均伤害：EDG.Scout最高场均参团率：DRX.BeryL最高场均对线经济差：DK.Canyon最高分均补刀：RNG.GALA最高场均视野得分：RNG.Ming#英雄联盟S12# #S12最前线##2022全球总决赛# 
宁玉cny_,0,0,0,我昨晚梦见EDG进决赛了 
陪野过冬季,0,1,10,EDG 太可爱啦 就是鞋子有一点大 
小狐狸Yechan,10,15,191,EDG 当爷还不是爷的时候 “弱小可怜无助”的小多 谁能不爱呢？ 小狐狸Yechan的微博视频 
阿千不吃姬柳,0,7,3,EDG解散吧我去我今天才发现这个好地方！美美住下了 
davey7_7,0,2,2,五味你吗了个b你个傻b 你以为是viper求着edg留下来吗？？人自己打出来了身价 c了那么多把 被你们说成这样我真的要被气疯了一个个傻b玩意喔？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？ 
Ninniebabe,0,2,2,去年西安的这两天特冷 还一直阴天那天看了一晚上的s11总决赛所有人不看好的一个队伍赢了当时是周末 很多人都在看这个EDG赢的时候女生宿舍也传来了欢呼手机上几乎被他们刷屏这个气氛热闹得像大学里在过新年一样然后下雪了 西安的第一场雪 下的特别大一晚上西安就落满了雪 白茫茫的那几天在宿舍 ...全文
太阳不开心啊,0,3,48,EDG 哈哈哈哈哈哈哈哈哈哈哈哈哈哈今日份最好笑 
遥以心照_,0,22,37,EDG_jiejieb宝的纪录片常看常新！！！突然发现我和他一天入的团哈哈哈哈哈哈哈哈哈哈 
赏帮赚199612,0,0,0,=我没有混日子，只是辛苦的时候没有人看到罢了，挣不到钱，中有人说你不上进，那么，你又见过几次凌晨三四点的月亮呢？#年轻人 #创业 #记录创业记录生活#EDG[超话]##张极[超话]# 赏帮赚199612的微博视频 
薅光所有香菜wyb,0,0,4,EDG晚安 
伤心小狗寄存处,0,36,318,EDG 哈特软软最正确的五个人 
想当沙雕可真难,0,0,1,这几年最开心的时候是edg夺冠的那个晚上，不记得当时是为什么点进了b站，一个对游戏一窍不通的人居然看完了整整五场比赛，啥也不懂，也不知道夺冠意味着什么，就是凑个热闹看看，但是最后赢了还是很激动，本来是不太喜欢看各种竞技比赛的，因为性格原因不喜欢冲突，但那个晚上突然感受到了电子竞技很纯 ...全文
伤心小狗寄存处,0,36,318,EDG 哈特软软最正确的五个人 
想当沙雕可真难,0,0,1,这几年最开心的时候是edg夺冠的那个晚上，不记得当时是为什么点进了b站，一个对游戏一窍不通的人居然看完了整整五场比赛，啥也不懂，也不知道夺冠意味着什么，就是凑个热闹看看，但是最后赢了还是很激动，本来是不太喜欢看各种竞技比赛的，因为性格原因不喜欢冲突，但那个晚上突然感受到了电子竞技很纯 ...全文
大电竞eSportsFocus,1,0,10,第二届英雄联盟手游职业联赛 常规赛第一阶段W3D311月4日 今日赛果&amp;积分榜WBG 2:3 EDGFPX 3:2 JDG#WRL2# 
灵敏电流表416,0,27,80,EDG真的是无语了，看出来了，下面赞同他的都是一堆cp粉，不鲜活也是他们。到贤就不能和前队友队友聊天吗？那我zzm还说我们五人组关系很好呢 
_Ynnnnnnnnn,0,0,0,EDG各位好，我新来的想问一下这期是不是很恐怖，有没有突然很吓人的地方 有点怕 
Viper3吃了吗,0,18,65,EDG 好可爱的李汭燦 佛山·岭南站NOVA 
拒绝次美18次,0,0,10,EDG我只是单纯喜欢周末早起罢了 
宇宙超级无敌666霹雳大帅逼,0,11,39,EDG不懂就问 这是个什么货色 现在不管是什么品种的狗都能来带节奏了？ 
卡其色的小猪熊1998-,0,0,13,98line!MeikoEDGScout多妹98line 卡其色的小猪熊1998-的微博视频 
拒绝次美18次,0,0,10,EDG我只是单纯喜欢周末早起罢了 
宇宙超级无敌666霹雳大帅逼,0,11,39,EDG不懂就问 这是个什么货色 现在不管是什么品种的狗都能来带节奏了？ 
卡其色的小猪熊1998-,0,0,13,98line!MeikoEDGScout多妹98line 卡其色的小猪熊1998-的微博视频 
Yechan不准卷头发,0,0,3,EDG《我恨你一辈子拆了》 
