用户,转发数,评论数,点赞数,评论
蓝色的雨和玫瑰,0,3,20,EDG @EDG_JieJie 我感觉你十分的需要 买一个吧 
肿肿不要变得肿肿,0,3,11,EDG许...许秀龟？？ 
英雄联盟菌,0,0,0,世界赛饭堂：DRX挺进决赛后谁最有话说？A、入围赛被暴打的RNGB、让二追三失败的DKC、被DRX让二追三的EDGD、和DRX同组的TESE、管泽元#T1对战DRX##管泽元# 
国电动物园,0,0,0,EDG家人们，可以帮忙助个力嘛 
Leeyechan314,0,1,11,EDG 看看航多爱英雄联盟 
December_12th_,0,0,0,还在grf时的viper分明还是个高中生一样的弟弟，去了edg怎么一下变成成熟男人了。气质变化真大，感觉他眼神都不一样了、、 
桃桃乌龙阿萌,0,0,0,edg真的，令人作呕呢 
不可熬夜的同学,0,5,1,EDG有没有友友玩手游的…太无聊了……努力不给你拖后腿的那种…我主辅～～ 
看到你真的是很烦,0,0,13,EDG bgm纯享那一段 🐰队长的嘴是肉眼可见的越来越快啊 
咕咕乘凉,0,15,11,EDG体测完，想si 
炸街蛋炒饭,0,42,127,EDG  卧槽 小鱼真要上场了 
时悦的琪落落,0,0,0,EDG 新粉 问一下有没有电s11相关视频和信息的合集（尤其是夺冠时的） 最近在疯狂找当时的采访和小视频 感觉好难找啊 想重新跟一下去年的历程 
时年吖r,0,19,51,EDG咱就是说，这两张照片在我这里真的封神了是我即使很多年后看到，都还会回忆满满的照片啊！！！每天坐在书桌前，一抬头看到他们，心情都好了捏！虽然但是，我手机里有接近两千张他们的照片，真的好多神图啊他们 
涌泉穴扎两针,0,0,0,EDG解散吧不要太搞笑 我gala呢 为什么放viper照片 
大电竞eSportsFocus,0,3,13,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分为四个小组，每组进行 ...全文
算卦的韩信,0,20,8,EDGxdm，歪个话题，大家有没有遇到过家里的宠物动物接二连三的去世了，家里会不会有不太好的事情发生老家一直是爷爷奶奶在住，养了不少猫狗鸡羊之类的动物，最近这一个月接二连三的没了好多，今天连奶奶养了7年的狗狗也没了，我现在有一些不太好的感觉，打算让爷爷奶奶先搬个地方，来我们 ...全文
傲娇暖男Karry王9,0,11,13,EDG小鱼儿好像 好像 方一凡啊 
亦冬雨,0,48,58,EDG解散吧逆大天 
沉默且纵情,0,2,0,EDG解散吧真敢说，牛的一 
虎扑电竞,5,25,204,【JR热议】全部淘汰！世界赛前管泽元心中TOP10选手，没有一人进入到决赛在世界赛开始前的《米勒赛事速递》节目中，解说管泽元给出了自己心中的S12选手排行TOP10，上榜的选手分布于GEN、TES、JDG、EDG四支战队中。1.Ruler2.Tian3.Peanut4.Kanavi5.Chovy6.3697.Lehends8.Jackeylove9 ...全文
再拖延就紫砂,0,0,18,EDG 要说你电签选手不看脸，我也不太相信（开玩笑） 
小狗勾开拖拉机,0,1,20,EDG田野的嘴就没停过 
三羊开烫,0,0,0,新做了一组柜子，可以把我的edg夺冠奖牌摆出来啦 
天天恰柠檬的七七,0,2,19,EDGB站视频看到的，求个原图家人们🙋 
用户7787304482,1,1,0,你edg管理层是什么尿性，不会真以为自己隐藏得很好吧，一边让人叫嚷双倍待遇，一边明里暗里想提二队，做人别太茶了，viper跟你这俱乐部和队员互不相欠。归根结底，你们这些人就是仗着viper他从来不回应和评价这些事情，所以尽情地利用他消耗他，他也是到了你edg之后整天被lpl的蛆和你超话里的奠杂明里 ...全文
Rabbittt_island,0,17,101,EDG 膏书记去看决赛了 那我们电人嘞[疑問] 
x老天偏爱笨小白,0,18,62,EDG有人说nest的比赛至少有一个是明年一队的真的假的啊 
EDG商城小二,1,1,26,任何人没看过今年的甜系新款，我会伤心的EDG#莫兰迪色系##治愈不开心# 
小狗勾开拖拉机,0,1,20,EDG田野的嘴就没停过 
小福泥有兔耳朵,0,5,24,EDGEDG的皮肤海报！！！ 
嗨peiker,0,28,164,EDG 对不起因为网卡，加载的时候截到了田老师的美丽图片，别来找我（笑得太开心了） 
佳佳鱼和小利利,1,158,245,EDG生日buff➕1 
TallRich115,0,0,0,EDGTES这次比赛的打野xiaofang是不是抖音那个小方QAQ啊？单纯问一下，不妥删。 
尘芥子-,0,5,11,EDG#欢乐海岸英雄联盟小镇# 找到了吗 
本就张扬古怪,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 S6入坑到S12 也算是见证了lpl一步步成长到现在，虽然这次rng和edg都饮恨八强 但还有jdg这一线希望，jdg加油 ，把S12的冠军奖杯继续留在lpl。 
小王情绪站,0,0,0,既然LPL夺冠无望，那么戴先生请捧起你的第一座冠军杯吧，三星十子的唯一，EDG的荣光。 
小颖子欧,0,1,1,EDG#英雄联盟s12# 永远支持戴先生 希望明天不留遗憾！！！ 
肉嘟嘟的粉猪,1,20,46,EDG我哭死，是EDG 
满眼愧疚,0,8,9,EDG明天吃什么家人们 
尘芥子-,0,11,30,EDG#英雄联盟s12##欢乐海岸英雄联盟小镇# 线下来了！没想到淀粉芥末多！图4留言板，我写的LPL加油，没想到写EDG的也有不少！晚上人明显多了，好像要那几个小兵，可惜不能带回家，还有很大的祝福墙，大锤石机甲，漂亮的格温妹妹，EDG的贴纸希望明年LPL加油，EDG加油！  ...全文
一天YiTian08,0,4,19,EDG 超话怎么又开始了别吵架！看我为了留下Viper特意买了南极人秋衣真的很暖和请和我一起喊，南极人yyds！这应该不是假货吧 
rubywooo1,0,0,6,EDG 新鲜的厂子。。嘿嘿。。新鲜的厂子。。嘿嘿。。🤩🤩🤩 
Aaron-7Cat,0,10,93,EDG  #小银龙幼儿园# 椅子看上去蛮舒服的嘛，借我趴一会儿～俗话说得好，姥爷@JX阿布 不在家，就是要喵喵当大王👑 
看到你真的是很烦,0,3,48,EDG dy看到的 👴立马暗杀版剪辑 
T_Cfion_r,2,5,40,Scout @奥地利RedBull X EDG “做自己的玩家”上海主题路演活动打卡 记录一下Scout的出镜立牌小李贴纸小李广告片小李“不言放弃” 
鲨鱼鱼yy,24,12,270,EDG “我的名字叫田野” 
摔笔狂魔_,0,0,1,EDG晚饭 
给欣欣宇宙吧,0,1,0,旧图新发#edg# 
热心市民敬先生,0,21,86,EDGDeft向众神祈祷，回应他的只有——对面酒桶在我们野区，它为什么要去塔里啊？下路一直叫我去，我怎么去啊？别人一直进我野区 
看到你真的是很烦,0,11,41,EDG 这都拿不下你 
我们抬头看星星闪呀闪,3,68,276,EDG只看颜值大家觉得小鱼人帅一点还是西裤哥帅一点图源超话cr：超凡电竞LOLcr：EDG今年还会夺冠 
安徒生的信徒,0,10,43,EDG 虽然很多人不看好DRX，明天决赛还是希望deft夺冠🏆，不知道管理学好不好使，我是不是不应该怀疑管大校 
天老师低调的女朋友,0,13,46,EDG救救救救救救，都要去看，谁教up主这么剪的，太丝滑了 
我要夏天_summervibe,0,0,0,『S12图说丨八强篇 DRX vs EDG——往事如风 | 机核 GCORES』S12图说丨八强篇 DRX vs EDG——往事如风 
NEST全国电子竞技大赛,6,16,20,#NEST2022# NEST2022英雄联盟线上预选赛【选手名单】C组：LGD、RNG、EDG#福建晋江# 
珍珠奶茶不要珍珠mio,0,2,45,EDG决赛就看看明凯，哪个队赢我都无所谓，做个乐子人不香吗，非得互相yygq，在这次世界赛（只针对这次世界赛）我实话实说手心手背都是刺，纯不想回忆的那种 
靠谱电竞,2,4,27,EDG公布NEST2022英雄联盟出战大名单 EDG选择派出在ASCI亚洲挑战者之星邀请赛中夺冠的EDG.Y班底出战，同时在EDG.Y原班底的基础上引入了FISHER（李淨太）选手加入NEST大名单上单：SOLOKILL 麦富强上单：XIAOYU 周宇 打野：MONKI 王梦齐 中单：FISHER 李淨太中单：CYKU 陈锦坤 ADC：LEAVE 胡 ...全文
仙人掌掌掌w,5,25,130,Scout#李汭燦的那年今日# 191103 EDG官方店更新 
mini-juju,0,10,58,EDG 看了几家粉丝留言，今年s赛过早结束和青黄不接的现实好像观众和粉丝都开始史无前例的期待点新人了（虽然可能也不见得咋样） 
初夏L雨迹,0,2,0,EDG家人们看看卡牌章子！车咪准备出五人系列！现在是第一车，单收党狂喜！套入党天堂！走过路过不要错过，快来看看美丽的烤漆和仿珐琅！ 
虎扑电竞,0,24,147,【EDG公布NEST2022大名单：EDG.Y为班底出战】在本届NEST2022英雄联盟项目中，EDG选择派出在ASCI亚洲挑战者之星邀请赛中夺冠的EDG.Y班底出战，同时在EDG.Y原班底的基础上引入了FISHER（李淨太）选手加入NEST大名单。教练：VITO 刘峰宇上单：SOLOKILL 麦富强上单：XIAOYU 周宇打野：MONKI 王梦齐 ...全文
绿皮橘子是甜的呀,0,67,105,EDG朋友们，我想知道一下，最近陈飞宇是不是特别红？抖音一直在刷到他 
驰名中外的涩涩侠,1,59,259,EDG 我也不知道是谁的问题 
绿皮橘子是甜的呀,0,67,105,EDG朋友们，我想知道一下，最近陈飞宇是不是特别红？抖音一直在刷到他 
驰名中外的涩涩侠,1,59,259,EDG 我也不知道是谁的问题 
胡萝卜培育基地,0,7,98,EDG报爷出现在弘大所以是回韩国了啊那回来的时候把per一起捞回来 
学医救不了猪仔,2,7,90,EDG 看脸招人的HR 
prettystarlove7,0,12,66,"EDG 一个冷知识，EDG还没拿过NEST的冠军这届也挺难的，LGD,WE,TT上一队了，FPX也几乎一队，都来打身价是吧EDG分在c组，只会淘汰一支队伍，希望能打赢RNG多拿积分，打LGD的lpl阵容赢了说明厉害，血赚不亏，输了也比较正常希望年轻的小伙子们能够往后面打，场次越多越好，磨练心 ...全文"
