用户,转发数,评论数,点赞数,评论
玩加电竞LOL,17,69,377,【NEST2022英雄联盟线上预选赛选手大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022# #FPX一队出战NEST# 
英雄联盟菌,58,91,797,【LPL选手合同到期一览：RNG、EDG以及TES关键选手合同今年到期】RNG：除了夏季赛转会过来的上单Breathe选手合同到期时间未知以外，其余四人包括替补辅助合同皆今年到期。EDG：Junjia合同到期时间未知，Jiejie合同于明年到期，其余四名选手Meiko、Scout、Flandre以及Viper的合同都在今年到期。TES ...全文
叶栖迟迟迟,0,1,0,tes48饭堂改地址转jkl少年名扬mark未凉wayward狂啸因为是囤发所以只能三个一起转，加邮一共是130.39 
游戏亚小索,32,37,274,端游加入这规则TES不是无敌？#英雄联盟# #s12半决赛# 
电竞小小徐,1,7,10,网友提问：S12对TES打野Tian 该怎么惩罚？#英雄联盟# #英雄联盟S12# 
可爱顺毛,0,4,1,"lng,wbg,tes,茗子你三选一吧 "
吃瓜的空白,4,14,196,网友投稿：RNG续约小虎，以小虎为核心进行队伍的组建。Jackeylove点名签Ming，而且TES还在接触Rookie，补强中辅。#2022LOL冬季转会期##英雄联盟##S12竞燃有我# 
游戏赛事君,71,75,690,英雄联盟冬季转会期还未开始，目前LPL赛区已经流言漫天。今日电竞爆料人更博透露，表示TES战队中单选手Knight今年的身价掉到去年的一半。#英雄联盟S12# #2022全球总决赛# 
英雄联盟神吐槽,36,410,2245,【评选2022LPL年度最佳阵容，RNG三人当选，TES、EDG颗粒无收！】网友评选今年的年度最佳阵容:当选的分别是上单369，打野Kanavi、中单Xiaohu、下路Gala、辅助Ming。#xiaohu##2022LPL年度最佳阵容##一起看S12决赛# 
游戏红人社,33,27,42,前V5教练在微博评论区回复粉丝提问：刘青松和林炜翔正常同事关系，没有决裂；TES几个人关系真的很好。#英雄联盟# #英雄联盟S12# 
游戏发现君,0,0,0,#2022全球总决赛#娃娃米勒激情锐评：如果DRX夺冠，TES就是2.5冠军 游戏发现君的微博视频 
解说阿九,0,65,23,LPL转会期又爆瓜：TES疑似下批7000w，让郭皓去买选手，中单目前计划买Rookie，RNG改名为Dyg。#英雄联盟# #英雄联盟S12# 
一天只吃九碗饭_,0,0,0,tes48饭堂 出lpl选手卡 
锦城LOL,0,0,3,突然发现今年LPL出征四队都被大削了JDG核心Kanavi想回韩国，主教练红米被爆料回国生二胎，如果是真的JDG直接从上流队伍掉到中游。二号种子TES只续约了Jackeylove，这么糟糕的成绩很难留住左手和小天三号种子EDG双韩援到期，Viper留队意愿不强，EDG是很难买到Viper替代品的。Viper对于EDG来说有多重 ...全文
狭窄世界的少年S,0,12,7,theshy我看到一个🍉 WBG TES 都在接触Rookie 不知真假 
咻咻拳击手,0,0,0,#英雄联盟S12#回顾JACKEYLOVE德莱文飞斧开道，TES战胜RGE拿下小组赛第二胜！ 咻咻拳击手的微博视频 
雷老板电竞圈,1,2,2,【GAM打野选手Levi更推求职】GAM打野选手Levi更新推特求职：我和GAM的合同在2022年11月21日到期，目前仍在与GAM商谈未来，不过他们允许我探索其他的选择。我想寻找一些大赛区的机会。Levi在今年S12小组赛对上TES时表现出色，那一手打野死歌给各个赛区的观众都留下了相当深刻的印象。 ...全文
用户7752377422,0,1,3,faker对付berly选手最有效的方法，就是硬用操作灌死zeka其实不用慌，对于gank之类的faker是完全不虚的，操作上两者我不敢说，但意识上还是faker更胜一筹。上路我觉得不用担心了，drx无论是小组赛，淘汰赛里， tes，edg和geng上路都是不强的选手。反倒宙斯，和jdg的半决赛，kanavi就差附369身 ...全文
渣大坝子,0,0,0,tes倒了，各种意义上. 
鱼日虫枼,0,0,0,Laurie Darmon《Mes mots tes lèvres douces》Mes mots tes lèvres douces @QQ音乐 
LPL赛事没品图,3,5,75,DRX继续追梦，RNG，TES还在上分~#LPL热饭开锅##英雄联盟S12##S12决赛# LPL赛事没品图的微博视频 
Clarinette-英川博文,0,0,0,"#Voltaire Peuple, éveille-toi, romps tes fers Remonte â ta grandeur première .  Comme un jour Dieu du haut des airs Rappellera les morts à la lumière .  Du sein de la poussière Et ranimera l’univers.  Peuple,éveille-toi,romps tes fers La liberté t’appelle. La liberté,la  ...全文"
青川电竞,55,58,691,【米勒：LPL最后一个超级新人是JKL从那以后就没有了，我很期待小黄人】昨日LPL官方解说娃娃和米勒做客《热饭开锅》节目，在话题热议环节，对于LPL的问题究竟在哪这个问题，二位解说谈到了新人。米勒认为LPL最后一个超级新人是JKL，从那以后就没有了，但LCK最近两三年出来的顶级新人不少，现在LPL赛 ...全文
瞎子的蓝桉,0,24,26,"#纪梵希美妆大使刘宇宁# 💐 #刘宇宁宁远舟# 💐 摩登兄弟💐 @摩登兄弟刘宇宁 你是人间烟火不自知，我在俗世仰望应如是Vous êtes un feu d'artifice sur terre, je ne sais pas, je regarde le monde刘宇宁紫川 刘宇宁帝林刘宇宁一念关山 刘宇宁宁远舟摩登 ...全文"
那夏O_o,0,0,1,要难过：看电竞cp视频要高兴：看各战队粉丝整活视频TES的小姐姐们唱歌是真厉害，开自家人也厉害，我现在满脑子全是，上路258，只会做烤蛋挞 
小贝迟早把你们豆沙了,0,0,8,不是你们cancel丹蕾德cancel得特别可笑，hp的片酬都结算完了，你们又不看他除了hp之外的任何电影还搁这儿cancel我给你们支个招，集结点极端tes把它暗鲨了，这是你们能为cancel顺直白男做出的最直接有力的贡献 
吃瓜的空白,0,2,7,左手身价降到去年一半，留TES可能性大增可以肯定的是，去年众多战队哄抢左手，价格也水涨船高，这一点众多博主和大主播是一致的今天77又爆料，左手今年的价格降到去年的一半。那么合理推测，一方面TES比较熟悉，自己性格原因不会主动求变；另一方面其他战队报价恐怕不会比TES高很多了，纸面实力也不 ...全文
致竞荣耀,0,1,34,【长沙TES.A 1:3 南京Hero久竞 】本局MVP给到 南京Hero.浩浩 桑启#荣耀杯S5# 
JEANSRGG,0,3,2,#转会期# LOL：Viper回LCK已经很接近了，目前碍于疫情原因，EDG的游说团队，目前无法直接去韩国和Viper经纪人对话，这点导致了谈判呆滞，LCK方面开出的条件很诱人，以及后续的保障。Knight目前身价比春季赛低了很多，TES没有足够的预算步强，续约了K，那么其他位置就没法补强了。 
枫不会回头她也是,0,18,33,TOP_ESPORTS 挺希望369回tes的 组个兄弟联盟 再冲最后一次的 
电竞赛事大围观,0,0,0,#TES##英雄联盟s12#TES两连败晋级形势分析可能16强，各赛区炸锅LEC发文嘲讽LCK狂欢，TES粉丝爆破官博指出问题绝望了！ 电竞赛事大围观的微博视频 
憬绎_,0,1,2,kk knight卓定在tes完全是在耽误他，和这种队友在一起根本体现不了他的价值，希望这次转会期能有队伍慧眼识珠。 
青川电竞,71,101,796,【恋恋红茶爆料：Tian离队续约都有可能 ，反正现在还没去WBG】LPL转会期爆料人恋恋红茶在微博评论区谈到了TES打野Tian：“离队续约都有可能，反正不是WBG.Tian（至少现在不是）”大伙希望Tian去哪支队伍呢？#TES##Tian# 
爱玩游戏的小屁孩h,0,0,1,#英雄联盟##LPL#Letme姿态联手焕烽复盘JDG不敌T1，TES、EDG和RNG谁更丢人？ 爱玩游戏的小屁孩h的微博视频 
游戏红人社,33,27,42,前V5教练在微博评论区回复粉丝提问：刘青松和林炜翔正常同事关系，没有决裂；TES几个人关系真的很好。#英雄联盟# #英雄联盟S12# 
赎懿,0,0,0,TES以然 嘿嘿 
游戏组长,69,73,187,如何评价TES 主教练白色月牙的水平？#英雄联盟# #白色月牙# 
鱼缸里的小小鱼人,0,0,0,#英雄联盟#世界碑麦裘kyy0.vip今年可能是 LPL 观众看比赛最憋屈的一年了吧？随着英雄联盟 2022 全球总决赛半决赛的落幕，本次世界赛 LPL 的四支战队行程也正式画上了一个句号。比赛之后，&quot;LPL 无缘决赛 &quot;&quot;LPL 世界赛五年来最差成绩 &quot;&quot;Uzi 复出 &quot; 等也成为了网友们热议的话题。从二号种子 TES 止 ...全文
锦城LOL,0,3,5,前V5教练：Viper和Kanavi想回LCK，红米回家生二胎了viper去dk，dk直接成银河战舰了，然后Kanavi也想回LCK，对于EDG和JDG来说都是削弱啊，更别说红米还要回家生二胎，RNG面临解散，TES续约JKL，LPL的强队都倒了啊#英雄联盟S12##2022电竞季##英雄联盟# 
MacaoJ上学限定版,0,0,0,接Edg*****Edg******Tes*****Edg****** Edg****** 
英雄联盟神吐槽,39,299,1012,【TES或放弃左手，围绕阿水来建队！“Knight携手Bin，DK接触Viper”！】爆料说左手的年薪超过4500W，绝对是联盟的顶薪，而TES下个赛季或围绕阿水来建队，放弃左手。笑笑在直播中表示，新赛季BLG的阵容可能是BIN，knight，刘青松加林伟翔，打野位置还不确定，但如果能买到左手，那么小天很可能也会 ...全文
电竞主页君,1,7,13,理性分析下，LPL市面上两个至臻全华班的优劣！第一个全华班也是以blg为班底的全华班bin wei 左手 gala lqs第二个全华班底是以tes为班底的，圣枪 tian xiaohu jk ming第一个全华班在我看来，游戏前期就是三个外塔还在的情况下很猛，理由是对线还可以，lqs和wei擅长的就是小规模游走团战联动，一旦破 ...全文
OPE体育电竞官方,0,0,0,#英雄联盟#RNG本次的成绩可谓是异常糟糕，比TES强点但是不多。在加上RNG身上背了非常多的官司所以他们也必须要面对选手们离开的现实情况，大概率RNG中野会离开，此外RNG教练朱开也会回归EDG，这也意味着以小虎、小明的年纪很可能退役，RNG将会出现全新队伍。 
枫不会回头她也是,1,59,162,TOP_ESPORTS 问大伙一个事 如果tes不是全华班了大家还会支持吗 
游戏主播酱,34,34,42,S赛历史最大的魔咒，被打破了S赛历史上最大的魔咒，就是赛前赔率前三的队伍必出冠军但今年的S12全球总决赛，赛前赔率第一JDG，第二TES，第三GEN即使是在小组赛临近和开打的时候，T1和DRX的赔率也没有进入过前三目前三支队伍全部无缘决赛。#英雄联盟# #英雄联盟S12# 
轻易放火zzx,0,3,4,iG电子竞技俱乐部昨天看inb组排，突然我自己梦了一个up阵容，zoom ning cryin elk baolan哈哈哈哈哈哈哈，感觉还可以哎哈哈哈哈，另外三个太难了，好像很难梦，或许tes可以跟v5争一下，shy应该很难兄弟联盟了（以上随便梦梦说说哈哈哈哈） 
抢哥辣条还想跑,0,0,0,都三年了，🍑粉还没看出来tes最大的问题其实是赛训组吗，平时正常发挥，关键时刻拖后腿，手上的苗子越养越差，问题一大堆，但是选手有改过赛训组永远不改，再怎么组银河舰队都不会有夺冠希望，不过也不能全怪tes，大环境赛训组都不行 
邵群前女友,0,1,0,我是说我是说竞技体育的尽头会不会是你tes哥啊土鳖哥开始给人希望 马上坠机 后来一鼓作气北伐东征 但又寄 春夏双亚世界赛十六强你们gsw 六月冠军 季前赛打的还不错 开赛也还行 然后客场五连败 首发替补断层 我宝场场30➕救不了你破b队伍你们nets的后卫哥 就我头像那位哥 开赛前说 ...全文
致竞荣耀,0,2,14,【长沙TES.A 1:2 南京Hero久竞 】恭喜@南京Hero久竞 拿下第三局比赛胜利#荣耀杯S5# 致竞荣耀的微博视频 
爱玩游戏的小屁孩h,0,0,2,#英雄联盟##LPL#TES或放弃左手围绕阿水来建队\nKnight携手Bin，DK接触Viper 爱玩游戏的小屁孩h的微博视频 
惊惶木·,0,0,5,决赛是edg打tes吗 
